e1,e2,sim,label,annotated
nonsteroidal anti-inflammatory drug,nonsteroial anti-inflammatory drugs,97,1,manually
desmethylastermizole,desmethylastemizole,97,1,pubmed_synonyms
non-steroidal anti-inflammatory agent,non- steroidal antiinflammatory agent,97,1,manually
dehydroaripiprazole,dehydro-aripiprazole,97,1,pubmed_synonyms
non-steroidal antiinflammatory drugs,non-steroidal anti-inflammatory drug,97,1,manually
beta-adrenergic-blocking agents,beta adrenergic-blocking agents,97,1,manually
potassium-depleting diuretics,potassium depleting diuretics,97,1,manually
antianxiety drugs,anti-anxiety drugs,97,1,manually
antiarrhythmic,anti-arrhythmic,97,1,manually
calcium channel-blocking drugs,calcium channel blocking drugs,97,1,manually
ethinylestradiol,ethinyl estradiol,97,1,drugbank_syn
anti platelet agents,antiplatelet agents,97,1,manually
reseveratrol,resveratrol,96,1,manually
beta adrenergic antagonists,beta-adrenergic antagonists,96,1,manually
nonsteroidal antiinflammatory agents,non-steroidal anti-inflammatory agent,96,1,manually
skeletal-muscle relaxants,skeletal muscle relaxants,96,1,manually
nonsteroial anti-inflammatory drugs,non-steroidal anti-inflammatory drug,96,1,manually
nonsteroidal anti inflammatory drug,non-steroidal anti-inflammatory drug,96,1,manually
angiotensin-converting enzyme inhibitor,angiotensin converting enzyme inhibitors,96,1,pubmed_synonyms
itraconazole,intraconazole,96,1,pubmed_synonyms
tricyclic antidepressant,tricyclic anti-depressants,96,1,manually
h2-receptor antagonists,h2 receptor antagonists,96,1,manually
nonsteroial anti-inflammatory drugs,non-steroidal antiinflammatory drugs,96,1,manually
nonsteroidal antiinflammatory drug,nonsteroial anti-inflammatory drugs,96,1,manually
nonsteroidal anti inflammatory drug,non-steroidal antiinflammatory drugs,96,1,manually
beta2-agonist,beta-agonist,96,0,manually
potassium-sparing diuretics,potassium sparing diuretics,96,1,manually
h2 receptor antagonists,h 2 -receptor antagonists,96,1,manually
h2-receptor antagonists,h 2 -receptor antagonists,96,1,manually
nonsteroidal anti-inflammatory drug,non-steroidal antiinflammatory drugs,96,1,manually
live attenuated vaccines,live-attenuated vaccines,96,1,manually
cyclosporine,cyclosporin,96,1,drugbank_syn
dopa-decarboxylase inhibitor,dopa decarboxylase inhibitor,96,1,manually
cyclosporine a,cyclosporin a,96,1,pubmed_synonyms
non-steroidal anti-inflammatory agent,non- steroidal anti- inflammatory agents,96,1,manually
barbituates,barbiturates,96,1,manually
vitamin b12,vitamin b-12,96,1,pubmed_synonyms
hmgcoa reductase inhibitors,hmg-coa reductase inhibitor,96,1,manually
nonsteroidal antiinflammatory agents,non- steroidal antiinflammatory agent,96,1,manually
nonsteroidal anti-inflammatory agents,non- steroidal anti- inflammatory agents,96,1,manually
s(-)warfarin,s(-) warfarin,96,1,manually
non- steroidal antiinflammatory agent,non- steroidal anti- inflammatory agents,96,1,manually
s- warfarin,s-warfarin,95,1,drugbank_syn
antiarrhythmic agent,anti-arrhythmic agents,95,1,manually
beta-adrenergic-blocking agents,beta-adrenergic blocking agent,95,1,manually
non-depolarizing muscle relaxants,non-depolarising muscle relaxant,95,1,manually
nonsteroidal anti-inflammatory agents,non- steroidal antiinflammatory agent,95,1,manually
r-warfarin,r- warfarin,95,1,drugbank_syn
beta adrenergic blocking agents,beta-adrenergic blocking agent,95,1,manually
nonsteroidal antiinflammatory agents,non- steroidal anti- inflammatory agents,95,1,manually
r- warfarin,r warfarin,95,1,manually
tnfa-blocking agents,tnf-blocking agent,95,1,manually
guanfacine,guafacine,95,1,manually
verografine,verografin,95,1,manually
anti-hypertensive drug,antihypertensive drugs,95,1,manually
dofetillide,dofetilide,95,1,manually
propranolol,propanolol,95,1,drugbank_syn
sodium colistimethate,sodium colistemethate,95,1,manually
vitamin d2,vitamin d,95,0,manually
serotoninergic agents,serotonergic agents,95,1,manually
p-aminosalicylic acid,aminosalicylic acid,95,1,drugbank_syn
vitamin d3,vitamin d,95,0,manually
fat soluble vitamins,fat-soluble vitamins,95,1,manually
isoniazide,isoniazid,95,1,pubmed_synonyms
"carbamazepine 10,11-epoxide","carbamazepine 10, 11 epoxide",95,1,pubmed_synonyms
s- warfarin,s warfarin,95,1,manually
immunosuppressants,immuno-suppressant,94,1,manually
angiotensln converting enzyme inhibitors,angiotensin-converting enzyme inhibitor,94,1,manually
nondepolarizing muscle relaxants,non-depolarising muscle relaxant,94,1,manually
cgs21680,cgs 21680,94,1,pubmed_synonyms
combination oral contraceptives,combination hormonal contraceptives,94,0,manually
beta adrenergic blockers,beta-adrenergic blocker,94,1,manually
antihypertensive,anti-hypertensives,94,1,manually
steroidal anti-inflammatory agent,nonsteroidal anti-inflammatory agents,94,0,manually
hydroxychloroquine,hydrochloroquine,94,1,manually
nonsteroidal anti inflammatory drug,nonsteroial anti-inflammatory drugs,94,1,manually
beta adrenergic blocking agents,beta-adrenergic-blocking agents,94,1,manually
calcium channel-blockers,calcium channel blocker,94,1,manually
steroidal anti-inflammatory agent,non-steroidal anti-inflammatory agent,94,0,manually
calcium-channel blockers,calcium channel blocker,94,1,manually
calcium-channel-blocking agents,calcium channel blocking agents,94,1,manually
ethynyl estradiol,ethinyl estradiol,94,1,drugbank_syn
omega-agatoxin via,omega-agatoxin iva,94,1,manually
h2-receptor antagonists,h 2 receptor antagonists,94,1,manually
angiotensin converting enzyme (ace) inhibitors,angiotensin converting enzyme inhibitors,93,1,manually
mercaptopurine,6-mercaptopurine,93,1,drugbank_syn
cortico-steroids,corticosteroid,93,1,manually
mao-b inhibitor,mao inhibitor,93,0,manually
cholestytamine,cholestyramine,93,1,manually
non-steroidal anti-inflammatory drug,non-steroidal anti-inflammatory,93,1,manually
potassium sparing diuretics,non-potassium sparing diuretics,93,0,manually
beta-adrenergic blocking agent,b-adrenergic blocking agents,93,1,manually
metoclopramide,metaclopramide,93,1,pubmed_synonyms
anion exchange resin,anionic exchange resins,93,1,manually
antidepressant,anti-depressants,93,1,manually
penicillamine,d-penicillamine,93,1,drugbank_syn
anti-coagulants,anticoagulant,93,1,manually
fentayl,fentanyl,93,1,manually
steroidal anti-inflammatory agent,nonsteroidal antiinflammatory agents,93,0,manually
beta2-agonists.,beta2-agonist,93,1,manually
beta-lactam antibiotics,b-lactam antibiotics,93,1,manually
methanol,ethanol,93,0,pubmed_formula
cardioselective beta-blocker,noncardioselective beta-blockers,93,0,manually
para-aminosalicylic acid,p-aminosalicylic acid,93,1,drugbank_syn
anion exchange resin,anion-exchange resins,93,1,manually
h2-antagonists,h2 antagonists,93,1,manually
amphotericin b,amphotericin,92,1,pubmed_synonyms
(s)-warfarin,(r)-warfarin,92,0,manually
tnfa-blocking agents,tnf blocking agents,92,1,manually
aminoglycosidic antibiotics,aminoglycoside antibiotic,92,1,manually
angiotensin 2,angiotensin,92,0,manually
angiotensin 1,angiotensin,92,0,manually
tnf-blocking agent,tnf blocking agents,92,1,manually
beta-blocker,beta blocker,92,1,manually
betablockers,beta-blocker,92,1,manually
betablockers,beta blocker,92,1,manually
nonsteroidal anti-inflammatory drug,nonsteroidal anti-inflammatory,92,1,manually
cyclosporine a,cyclosporine,92,1,pubmed_synonyms
selective mao inhibitor,non-selective mao inhibitor,92,0,manually
beta adrenergic blocking agents,b-adrenergic blocking agents,92,1,manually
potassium- sparing diuretics,non-potassium sparing diuretics,92,0,manually
thioxanthines,thioxanthenes,92,1,manually
beta blocking agents,beta-blocking agent,92,1,manually
cyclosporin a,cyclosporin,92,1,drugbank_syn
methsuximide,ethosuximide,92,0,pubmed_formula
beta-adrenergic-blocking agents,b-adrenergic blocking agents,92,1,manually
doxorubicinol,doxorubicin,92,0,pubmed_formula
synthetic steroidal progestogen,synthetic steroidal estrogen,92,0,manually
fluorouracil,5-fluorouracil,92,1,drugbank_syn
phenobarbital,pentobarbital,92,0,pubmed_formula
d-amphetamine,amphetamine,92,1,drugbank_syn
calcium-channel blockers,calcium channel-blockers,92,1,manually
penicillin v,penicillin g,92,0,pubmed_formula
cns-depressant drug,cns depressant drugs,92,1,manually
angiotensin-converting enzyme inhibitor,angiotensin-converting enzyme (ace) inhibitors,92,1,manually
s- warfarin,s(-) warfarin,92,1,manually
nonsteroidal antiinflammatory drug,nonsteroidal antiinflammatory,92,1,manually
angiotensin- converting enzyme (ace) inhibitors,angiotensin converting enzyme inhibitors,92,1,manually
angiotensin 2,angiotensin 1,92,0,manually
prednisone,prednisolone,91,0,pubmed_formula
angiotensin converting enzyme (ace) inhibitors,angiotensln converting enzyme inhibitors,91,1,manually
s-warfarin,(s)-warfarin,91,1,drugbank_syn
nonsteroidal antiinflammatory,nonsteroidal anti-inflammatory drug,91,1,manually
s- warfarin,r- warfarin,91,0,manually
mixed agonist/antagonist analgesics,mixed agonist/antagonist opioid analgesics,91,0,manually
steroidal anti-inflammatory agent,non- steroidal antiinflammatory agent,91,0,manually
ciclosporin,cyclosporin,91,1,drugbank_syn
tricyclic anti-depressants,tetracyclic antidepressants,91,0,manually
s-warfarin,s(-)warfarin,91,1,manually
anionic exchange resins,anion-exchange resins,91,1,manually
h2 blockers,h1 blockers,91,0,manually
methionine,l-methionine,91,1,drugbank_syn
a-methyldopa,methyldopa,91,1,pubmed_synonyms
b-blocking agent,beta-blocking agent,91,1,manually
nonsteroidal anti-inflammatory,non-steroidal anti-inflammatory drug,91,1,manually
nonsteroidal anti-inflammatory drug,non-steroidal anti-inflammatory,91,1,manually
non-steroidal anti-inflammatory agent,non-steroidal anti-inflammatory,91,1,manually
penicillin g,penicillin,91,0,manually
angiotensin-converting enzyme inhibitor,angiotensin- converting enzyme (ace) inhibitors,91,1,manually
penicillin v,penicillin,91,0,pubmed_formula
r-warfarin,(r)-warfarin,91,1,drugbank_syn
escitalopram,citalopram,91,1,drugbank_syn
angiotensin-converting enzyme (ace) inhibitors,angiotensin converting enzyme inhibitors,91,1,manually
nonsteroidal antiinflammatory,nonsteroidal anti inflammatory drug,91,1,manually
ethynyl estradiol,ethinylestradiol,91,1,drugbank_syn
omeprazole,esomeprazole,91,1,drugbank_syn
nonsteroidal antiinflammatory drug,nonsteroidal anti-inflammatory,91,1,manually
fosinoprilat,fosinopril,91,0,pubmed_formula
hmg-coa reductase inhibitor class,hmgcoa reductase inhibitors,90,1,manually
erythrohydrobupropion,threohydrobupropion,90,0,pubmed_formula
norbuprenorphine,buprenorphine,90,0,pubmed_formula
vitamin d3,vitamin b3,90,0,pubmed_formula
antiparkinsonian drug,antiparkinson drugs,90,1,manually
b-adrenergic blocking agents,alpha-adrenergic blocking agents,90,0,manually
imipramine hydrochloride,desipramine hydrochloride,90,0,pubmed_formula
beta2-agonists.,beta2 agonists,90,1,manually
vitamin d3,vitamin d2,90,0,pubmed_formula
nonsteroidal anti-inflammatory,non-steroidal anti-inflammatory agent,90,1,manually
hiv protease inhibitors,anti-hiv protease inhibitors,90,1,manually
s warfarin,s-warfarin,90,1,pubmed_synonyms
steroidal anti-inflammatory agent,non- steroidal anti- inflammatory agents,90,0,manually
gentamycin,gentamicin,90,1,pubmed_synonyms
nefazodone,nafazodone,90,1,manually
antihistaminics,antihistamines,90,1,manually
zopiclone,eszopiclone,90,1,drugbank_syn
angiotensln converting enzyme inhibitors,angiotensin- converting enzyme (ace) inhibitors,90,1,manually
central nervous system depressant,central nervous system (cns) depressants,90,1,manually
nefazodone,nefazadone,90,1,manually
oxacillin,cloxacillin,90,0,pubmed_formula
serotonin reuptake inhibitors,serotonin reuptake inhibitor drug,90,1,manually
ofloxacin,norfloxacin,90,0,pubmed_formula
halogenated hydrocarbon general anesthetics,halogenated hydrocarbon anesthetics,90,0,manually
non-steroidal anti-inflammatory drug,non-steroidal anti-inflammatory agent,90,1,manually
potassium-sparing diuretics,non-potassium sparing diuretics,90,0,manually
alfentanyl,alfentanil,90,1,drugbank_syn
r-warfarin,r warfarin,90,1,pubmed_synonyms
vitamin b6,vitamin b3,90,0,pubmed_formula
non-steroidal antiinflammatory drugs,non-steroidal anti-inflammatory,90,1,manually
hmg-coa reductase inhibitor class,hmg-coa reductase inhibitor,90,1,manually
s warfarin,r warfarin,90,0,manually
phenytoin,mephenytoin,90,0,pubmed_formula
enalaprilat,enalapril,90,0,pubmed_formula
cholestytamine,cholestryramine,90,1,manually
cimetldine,cimetidine,90,1,manually
mefenamic acid,meclofenamic acid,90,0,pubmed_formula
antituberculous drugs,antituberculosis drug,90,1,manually
s-warfarin,r-warfarin,90,0,manually
nonsteroidal anti-inflammatory agents,nonsteroidal anti-inflammatory,90,1,manually
benzothiazepine,benzodiazepine,90,0,pubmed_formula
adl-8-2698,adl 8-2698,90,0,pubmed_formula
mao-inhibitors,mao-b inhibitor,90,0,manually
spermine,spermidine,89,0,pubmed_formula
tricyclic antidepressant class,tricyclic anti-depressants,89,1,manually
mao-inhibitors,mao inhibitor,89,1,manually
tricyclic antidepressant class,tricyclic antidepressant,89,1,manually
angiotensin converting enzyme (ace) inhibitors,angiotensin-converting enzyme inhibitor,89,1,manually
tetracycline,oxytetracycline,89,0,pubmed_formula
tricyclic antidepressant agent,tricyclic antidepressant,89,1,manually
dopamine antagonists,dopamine agonist,89,0,manually
vitamin c,vitamin a,89,0,pubmed_formula
monoamine oxidase inhibitor,monoamine oxidase (mao) inhibitors,89,1,manually
anticoagulants of the warfarin type,anticoagulants of the coumarin type,89,0,manually
panretin,pancreatin,89,0,manually
vitamin d,vitamin a,89,0,manually
nonsteroidal anti-inflammatory drug,nonsteroidal anti-inflammatory agents,89,1,manually
fentanyl,alfentanyl,89,0,pubmed_formula
vitamin e,vitamin c,89,0,pubmed_formula
vitamin k,vitamin c,89,0,pubmed_formula
nonsteroidal antiinflammatory drug,non-steroidal anti-inflammatory,89,1,manually
vitamin e,vitamin d,89,0,manually
vitamin k,vitamin d,89,0,manually
vitamin-d,vitamin d,89,1,manually
nonsteroidal anti-inflammatory,nonsteroidal anti inflammatory drug,89,1,manually
nonsteroidal anti-inflammatory drug,non-steroidal anti-inflammatory agent,89,1,manually
nonsteroidal anti-inflammatory agents,nonsteroial anti-inflammatory drugs,89,1,manually
beta2-agonist,beta2 agonists,89,1,manually
vitamin k,vitamin e,89,0,pubmed_formula
ace-inhibitors,ace inhibitor,89,1,manually
nonsteroidal antiinflammatory,non-steroidal anti-inflammatory drug,89,1,manually
beta2-agonists.,beta-agonist,89,0,manually
s warfarin,warfarin,89,0,manually
nonsteroidal anti-inflammatory,nonsteroial anti-inflammatory drugs,89,1,manually
opioid analgesics,non-opioid analgesics,89,0,manually
nonsteroidal antiinflammatory,non-steroidal antiinflammatory drugs,89,1,manually
nonsteroidal antiinflammatory agents,non-steroidal antiinflammatory drugs,89,1,manually
triazole antifungals,azole antifungal,89,0,manually
vitamin d,vitamin c,89,0,manually
warfarin,s-warfarin,89,1,drugbank_syn
fenfluramine,dexfenfluramine,89,1,drugbank_syn
vitamin e,vitamin a,89,0,pubmed_formula
rifampin,rifampicin,89,1,drugbank_syn
tracrium,atracurium,89,0,pubmed_formula
desmethyldiltiazem,desacetyldiltiazem,89,0,manually
nonsteroidal antiinflammatory agents,nonsteroidal antiinflammatory,89,1,manually
vitamin k,vitamin a,89,0,pubmed_formula
nonsteroidal antiinflammatory drug,nonsteroidal antiinflammatory agents,89,1,manually
warfarin,r-warfarin,89,1,drugbank_syn
calcium channel blocking drugs,calcium channel blocking agents,89,1,manually
l-arginine,arginine,89,1,drugbank_syn
warfarin,r warfarin,89,0,manually
anticoagulant medication,anticonvulsant medications,88,0,manually
nonsteroidal anti-inflammatory agents,non-steroidal anti-inflammatory drug,88,1,manually
cefotetan,cefotan,88,1,pubmed_synonyms
quinolone class antimicrobial,quinolone antimicrobial,88,1,manually
b-blocking agent,tnf-blocking agent,88,0,manually
nonsteroidal antiinflammatory,non-steroidal anti-inflammatory agent,88,1,manually
nonsteroidal anti-inflammatory,non-steroidal antiinflammatory drugs,88,1,manually
non-narcotic analgesics,narcotic analgesic,88,0,manually
nonsteroidal anti-inflammatory agents,non-steroidal antiinflammatory drugs,88,1,manually
nonsteroidal antiinflammatory,nonsteroial anti-inflammatory drugs,88,1,manually
combined oral contraceptives,combination oral contraceptives,88,1,manually
non-steroidal anti-inflammatory,non- steroidal antiinflammatory agent,88,1,manually
digoxin,digitoxin,88,0,pubmed_formula
cyclosporine,cyclosporin a,88,1,drugbank_syn
cyclosporine a,cyclosporin,88,1,pubmed_synonyms
nonsteroidal antiinflammatory agents,nonsteroidal anti-inflammatory,88,1,manually
quinine,quinidine,88,0,manually
beta adrenergic-blocking agents,b-adrenergic blocking agents,88,1,manually
nonsteroial anti-inflammatory drugs,non-steroidal anti-inflammatory,88,1,manually
coumarin-type anticoagulants,coumarin anticoagulant,88,1,manually
nonsteroidal anti inflammatory drug,non-steroidal anti-inflammatory,88,1,manually
coumarin,coumadin,88,0,pubmed_formula
anticonvulsant agents,anticoagulant agents,88,0,manually
nonsteroidal antiinflammatory,nonsteroidal anti-inflammatory agents,88,1,manually
nonsteroidal anti-inflammatory agents,non-steroidal anti-inflammatory,88,1,manually
nonsteroidal antiinflammatory,non- steroidal antiinflammatory agent,88,1,manually
non-steroidal antiinflammatory drugs,non-steroidal anti-inflammatory agent,88,1,manually
non-steroidal antiinflammatory drugs,non- steroidal antiinflammatory agent,88,1,manually
"carbamazepine 10,11-epoxide",carbamazepine epoxide,88,1,pubmed_synonyms
non-steroidal anti-inflammatory drug,non- steroidal antiinflammatory agent,88,1,manually
norepinephrine,epinephrine,88,0,pubmed_formula
beta-adrenergic receptor blocking agents,beta-adrenergic receptor blockers,88,1,manually
(-)-nanm,(+)-nanm,88,0,manually
protease inhibitor,hiv protease inhibitors,88,0,manually
5-ht1b/1d agonists,5-ht1 agonists,88,0,manually
angiotensln converting enzyme inhibitors,angiotensin-converting enzyme (ace) inhibitors,88,1,manually
phenobarbital,hexobarbital,88,0,pubmed_formula
triazole antifungals,imidazole antifungals,88,0,manually
kemstrotm,kemstro,88,1,manually
hydroxymethylglutaryl coenzyme a (hmg-coa) reductase inhibitors,synthetic 3-hydroxy-3-methylglutaryl coenzyme a (hmgcoa) reductase inhibitor,88,0,manually
b-blocking agent,h1-blocking agents,88,0,manually
para-aminosalicylic acid,aminosalicylic acid,88,1,drugbank_syn
non-steroidal anti-inflammatory drug,non- steroidal anti- inflammatory agents,87,1,manually
amitriptyline hcl,amitriptyline,87,0,pubmed_formula
non-steroidal antiinflammatory drugs,non- steroidal anti- inflammatory agents,87,1,manually
nonsteroidal antiinflammatory agents,nonsteroidal anti inflammatory drug,87,1,manually
non-steroidal anti-inflammatory,non- steroidal anti- inflammatory agents,87,1,manually
tricyclic antidepressant agent,tricyclic antidepressant class,87,1,manually
nonsteroidal anti-inflammatory,non- steroidal antiinflammatory agent,87,1,manually
nonsteroidal antiinflammatory agents,nonsteroial anti-inflammatory drugs,87,1,manually
triflupromazine,trifluoperazine,87,0,pubmed_formula
antibacterial,antimycobacterial,87,0,manually
s-warfarin,s(-) warfarin,87,1,pubmed_synonyms
s warfarin,s(-) warfarin,87,1,manually
quinolone antibiotic,fluoroquinolone antibiotic,87,0,manually
s- warfarin,s(-)warfarin,87,1,manually
loratadine,desloratadine,87,0,pubmed_formula
nonsteroidal antiinflammatory drug,non-steroidal anti-inflammatory agent,87,1,manually
nonsteroidal antiinflammatory drug,nonsteroidal anti-inflammatory agents,87,1,manually
nicotinamide,niacinamide,87,1,drugbank_syn
nonsteroidal antiinflammatory agents,nonsteroidal anti-inflammatory drug,87,1,manually
diphenoxylate hcl,diphenoxylate,87,0,pubmed_formula
s- warfarin,(s)-warfarin,87,1,pubmed_synonyms
hydroxylamine,doxylamine,87,0,pubmed_formula
h2 antagonists,5ht3 antagonists,87,0,manually
norfluoxetine,fluoxetine,87,0,pubmed_formula
noradrenaline,adrenaline,87,0,pubmed_formula
nonsteroidal antiinflammatory agents,non-steroidal anti-inflammatory,87,1,manually
r- warfarin,(r)-warfarin,87,1,pubmed_synonyms
ciclosporin,cyclosporine,87,1,drugbank_syn
cycloserine,cyclosporine,87,0,pubmed_formula
nonsteroidal antiinflammatory drug,non- steroidal antiinflammatory agent,87,1,manually
beta-adrenergic blocking drugs,beta-adrenergic blocking agent,87,1,manually
r(+) warfarin,r warfarin,87,1,manually
beta-adrenergic blocking agent,alpha-adrenergic blocking agents,87,0,manually
penicillin,penicillamine,87,0,pubmed_formula
progestin-only oral contraceptives,progestational contraceptives,86,0,manually
vasoconstrictor drugs,vasoconstrictors,86,1,manually
phenothiazines classes of antipsychotic agents,butyrophenone classes of antipsychotic agents,86,0,manually
lovastatin,fluvastatin,86,0,pubmed_formula
phenytoin,fosphenytoin,86,0,pubmed_formula
cns depressants,cns depressant drugs,86,1,manually
nitrite,nitrate,86,0,pubmed_formula
nisoldipine,nimodipine,86,0,pubmed_formula
mao-inhibitors,ace-inhibitors,86,0,manually
beta-adrenergic-blocking agents,alpha-adrenergic blocking agents,86,0,manually
tnf-blocking agent,beta-blocking agent,86,0,manually
beta adrenergic blocking agents,alpha-adrenergic blocking agents,86,0,manually
sevoflurane,isoflurane,86,0,pubmed_formula
imidazole antifungals,azole antifungal,86,0,manually
ampicillin,amoxicillin,86,0,pubmed_formula
ofloxacin,lomefloxacin,86,0,pubmed_formula
iopidine,iodine,86,0,pubmed_formula
palonosetron,alosetron,86,0,pubmed_formula
oxandrolone,nandrolone,86,0,pubmed_formula
promethazine,promazine,86,0,manually
vitamin b3,vitamin b12,86,0,pubmed_formula
steroidal anti-inflammatory agent,nonsteroidal anti-inflammatory,86,0,manually
psychotropic medications,antipsychotic medications,86,0,manually
s warfarin,r- warfarin,86,0,manually
nonsteroidal anti-inflammatory drug,non- steroidal antiinflammatory agent,86,1,manually
ofloxacin,levofloxacin,86,1,drugbank_syn
cisplatin,cis-platinum,86,1,manually
nonsteroidal anti inflammatory drug,non- steroidal antiinflammatory agent,86,1,manually
nonsteroidal anti-inflammatory agents,nonsteroidal anti inflammatory drug,86,1,manually
s- warfarin,r-warfarin,86,0,manually
diasone,dapsone,86,0,pubmed_formula
vitamin b6,vitamin b12,86,0,pubmed_formula
nonsteroial anti-inflammatory drugs,non-steroidal anti-inflammatory agent,86,1,manually
s-warfarin,r- warfarin,86,0,manually
nonsteroidal anti inflammatory drug,non-steroidal anti-inflammatory agent,86,1,manually
5ht3 antagonists,5ht3 antagonist class,86,1,manually
nonsteroidal anti-inflammatory,non- steroidal anti- inflammatory agents,86,1,manually
s- warfarin,r warfarin,86,0,manually
vitamin d2,vitamin b12,86,0,pubmed_formula
phenyltoloxamine,phentolamine,86,0,pubmed_formula
doxorubicinol,doxorubicin hcl,86,0,pubmed_formula
isosorbide mononitrate,isosorbide dinitrate,86,0,pubmed_formula
carbamazepine epoxide,"carbamazepine 10, 11 epoxide",86,1,pubmed_synonyms
fenfluramine,enflurane,86,0,pubmed_formula
tricyclic antidepressant agent,tricyclic anti-depressants,86,1,manually
beta-adrenoceptor blocking agents,beta-adrenergic blocking agent,86,1,manually
ergot alkaloids,ergot alkaloid class,86,1,manually
thorazine,thioridazine,86,0,pubmed_formula
norethandrolone,norethindrone,86,0,pubmed_formula
nonsteroidal antiinflammatory agents,non-steroidal anti-inflammatory drug,86,1,manually
fenofibrate,etofibrate,86,0,pubmed_formula
chlorpromazine,chloroprocaine,86,0,pubmed_formula
thiazide-type diuretics,thiazide diuretic,85,1,manually
beta adrenergic blocking agents,beta-adrenergic receptor blocking agents,85,1,manually
beta-adrenergic-blocking agents,beta-adrenergic blocking drugs,85,1,manually
s(-) warfarin,r(+) warfarin,85,0,manually
vitamin d preparations,multivitamin preparations,85,0,manually
antihypertensive drugs,anti-hypertensives,85,1,manually
cns depressant drugs,antidepressant drugs,85,0,manually
beta adrenergic blocking agents,beta-adrenergic blocking drugs,85,1,manually
calcium channel-blocking drugs,calcium channel blocking agents,85,1,manually
salicylic acid,aminosalicylic acid,85,0,pubmed_formula
methamphetamine,amphetamine,85,0,pubmed_formula
nicardipine hcl,nicardipine,85,0,pubmed_formula
short-acting benzodiazepines,long-acting benzodiazepine,85,0,manually
thioxanthene classes of antipsychotic agents,butyrophenone classes of antipsychotic agents,85,0,manually
steroidal anti-inflammatory agent,nonsteroidal anti-inflammatory drug,85,0,manually
nonsteroidal anti-inflammatory drug,non- steroidal anti- inflammatory agents,85,1,manually
immunosuppressive drugs,immunosuppressive,85,1,manually
nonsteroial anti-inflammatory drugs,non- steroidal anti- inflammatory agents,85,1,manually
protriptyline,nortriptyline,85,0,manually
diphenhydramine hydrochloride,desipramine hydrochloride,85,0,pubmed_formula
azole antifungal agents,antifungal agents,85,0,manually
oxcarbazepine,carbamazepine,85,0,pubmed_formula
des-ciclesonide,ciclesonide,85,0,pubmed_formula
nonsteroidal anti inflammatory drug,non- steroidal anti- inflammatory agents,85,1,manually
anti-hypertensive drug,anti-hypertensives,85,1,manually
mao inhibitor,ace inhibitor,85,0,manually
sulphonylureas,sulfonylurea,85,1,manually
hydrochlorothiazide,chlorothiazide,85,0,pubmed_formula
clarithromycin,azithromycin,85,0,pubmed_formula
potassium sparing diuretics,magnesium sparing diuretics,85,0,manually
beta2 agonists,beta-agonist,85,0,manually
monoamine oxidase inhibiting drugs,monoamine oxidase inhibitor,85,1,manually
levonorgestrel,etonogestrel,85,0,pubmed_formula
calcium channel-blocking drugs,calcium channel-blockers,85,1,manually
doxorubicin hcl,doxorubicin,85,0,pubmed_formula
vitamin e,vitamin b6,84,0,pubmed_formula
vitamin d3,vitamin c,84,0,pubmed_formula
antihypertensive drugs,antihypertensive agents,84,1,manually
tricyclic antidepressant class,tetracyclic antidepressants,84,0,manually
calcitriol,calcidiol,84,0,pubmed_formula
thioxanthene classes of antipsychotic agents,phenothiazines classes of antipsychotic agents,84,0,manually
vitamin c,vitamin b6,84,0,pubmed_formula
